###Movement values in mm###
X	Y	A		sX	sY	sA
1215	483.697	0		7.74369	32.5998	0.000933383
1215	484.785	0		7.76636	32.9297	0.000936521
1215	485.873	0		7.78903	33.2618	0.000939658
1215	486.962	0		7.8117	33.5961	0.000942796
1215	488.05	0		7.83437	33.9326	0.000945933
1215	489.138	0		7.85704	34.2714	0.000949071
1215	490.226	0		7.87971	34.6124	0.000952208
1215	491.314	0		7.90237	34.9557	0.000955346
1215	492.402	0		7.92504	35.3012	0.000958484
1215	493.49	0		7.94771	35.649	0.000961621
1215	494.578	0		7.97038	35.9991	0.000964759
1215	495.666	0		7.99305	36.3515	0.000967896
1215	496.754	0		8.01572	36.7061	0.000971034
1215	497.843	0		8.03839	37.0631	0.000974171
1215	498.931	0		8.06106	37.4224	0.000977309
1215	500.019	0		8.08373	37.784	0.000980446
1215	501.107	0		8.10639	38.1479	0.000983584
1215	502.195	0		8.12906	38.5141	0.000986721
1215	503.283	0		8.15173	38.8827	0.000989859
1215	504.371	0		8.1744	39.2536	0.000992997
1215	505.459	0		8.19707	39.6268	0.000996134
1215	506.547	0		8.21974	40.0025	0.000999272
1215	507.636	0		8.24241	40.3804	0.00100241
1215	508.724	0		8.26508	40.7608	0.00100555
1215	509.812	0		8.28774	41.1436	0.00100868
1215	510.9	0		8.31041	41.5287	0.00101182
1215	511.988	0		8.33308	41.9162	0.00101496
1215	513.076	0		8.35575	42.3061	0.0010181
1215	514.164	0		8.37842	42.6985	0.00102123
1215	515.252	0		8.40109	43.0932	0.00102437
1215	516.34	0		8.42376	43.4904	0.00102751
1215	517.428	0		8.44643	43.8901	0.00103065
1215	518.517	0		8.4691	44.2921	0.00103378
1215	519.605	0		8.49176	44.6966	0.00103692
1215	520.693	0		8.51443	45.1036	0.00104006
1215	521.781	0		8.5371	45.513	0.0010432
1215	522.869	0		8.55977	45.9249	0.00104634
1215	523.957	0		8.58244	46.3393	0.00104947
1215	525.045	0		8.60511	46.7561	0.00105261
1215	526.133	0		8.62778	47.1755	0.00105575
1215	527.221	0		8.65045	47.5973	0.00105889
1215	528.31	0		8.67311	48.0217	0.00106202
1215	529.398	0		8.69578	48.4486	0.00106516
1215	530.486	0		8.71845	48.878	0.0010683
1215	531.574	0		8.74112	49.3099	0.00107144
1215	532.662	0		8.76379	49.7444	0.00107457
1215	533.75	0		8.78646	50.1814	0.00107771
1215	534.838	0		8.80913	50.6209	0.00108085
1215	535.926	0		8.8318	51.063	0.00108399
1215	537.014	0		8.85447	51.5077	0.00108712
1215	538.102	0		8.87713	51.955	0.00109026
1215	539.191	0		8.8998	52.4048	0.0010934
1215	540.279	0		8.92247	52.8573	0.00109654
1215	541.367	0		8.94514	53.3123	0.00109967
1215	542.455	0		8.96781	53.7699	0.00110281
1215	543.543	0		8.99048	54.2302	0.00110595
1215	544.631	0		9.01315	54.693	0.00110909
1215	545.719	0		9.03582	55.1585	0.00111222
